LR:0.001, DF : 0, TU : [1, 2],DRT: 0.2
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('C:\\Users\\shing\\Anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('C:\\Users\\shing\\Anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000
[Epoch 0030/1000]	Epsilon:0.4855	#Expl.:3919/8003	#Buy:2555	#Sell:2389	#Hold:3059	#Stocks:742	PV:\8,752,676	POS:146	NEG:130	Loss:  0.126726
[Epoch 0031/1000]	Epsilon:0.4850	#Expl.:3867/8003	#Buy:2394	#Sell:2284	#Hold:3325	#Stocks:745	PV:\10,914,109	POS:150	NEG:128	Loss:  0.127739
[Epoch 0032/1000]	Epsilon:0.4845	#Expl.:3886/8003	#Buy:2439	#Sell:2457	#Hold:3107	#Stocks:431	PV:\9,902,976	POS:142	NEG:126	Loss:  0.127419
[Epoch 0033/1000]	Epsilon:0.4840	#Expl.:3840/8003	#Buy:2434	#Sell:2496	#Hold:3073	#Stocks:323	PV:\13,995,769	POS:141	NEG:134	Loss:  0.127360
[Epoch 0034/1000]	Epsilon:0.4835	#Expl.:3913/8003	#Buy:2502	#Sell:2505	#Hold:2996	#Stocks:434	PV:\11,660,014	POS:141	NEG:125	Loss:  0.127669
[Epoch 0035/1000]	Epsilon:0.4830	#Expl.:3826/8003	#Buy:2311	#Sell:2474	#Hold:3218	#Stocks:155	PV:\16,481,942	POS:147	NEG:130	Loss:  0.127208
[Epoch 0036/1000]	Epsilon:0.4825	#Expl.:3900/8003	#Buy:2385	#Sell:2484	#Hold:3134	#Stocks:241	PV:\14,533,046	POS:147	NEG:131	Loss:  0.127564
[Epoch 0037/1000]	Epsilon:0.4820	#Expl.:3891/8003	#Buy:2382	#Sell:2525	#Hold:3096	#Stocks:145	PV:\15,676,902	POS:143	NEG:122	Loss:  0.128101
[Epoch 0038/1000]	Epsilon:0.4815	#Expl.:3858/8003	#Buy:2256	#Sell:2480	#Hold:3267	#Stocks:0	PV:\21,854,317	POS:141	NEG:124	Loss:  0.127860
[Epoch 0039/1000]	Epsilon:0.4810	#Expl.:3805/8003	#Buy:2325	#Sell:2389	#Hold:3289	#Stocks:226	PV:\14,677,772	POS:140	NEG:127	Loss:  0.127405
