,종가,종가 지수 5,15,33,56,112,전환선 9,기준선 26,후행스팬 26,"선행스팬1 9,26","선행스팬2 52,26","Bollinger Bands중심선 20,2.4",상한선,하한선,224,448,Para SAR 강세패턴,약세패턴,골든크로스,데드크로스,거래량,OBV,Signal 9,VR 21,"Slow %K 20,5",Slow %D 3,RSI 21,CCI 42
"선행스팬2 52,26",0.8915895100165182,0.8967247547068539,0.9114582197253389,0.9348956129268293,0.9530074537216809,0.9600669766025822,0.8950406538845779,0.90838721702168,0.8451544609563196,0.9728978199998578,1.0,0.9166284812154528,0.8957692921704331,0.8969045443191922,0.9341196544993272,0.8805975005811739,-0.057130958266323466,0.057130958266323466,0.9355070968847157,0.9518634497044058,-0.19500417905944903,-0.39877340245750825,-0.3989093862063127,0.060046845272074385,-0.03070352827010883,-0.03307617846790027,-0.12426202455247287,-0.13094644638728484
"Bollinger Bands중심선 20,2.4",0.9823168737993095,0.9891707256845033,0.9976032591492926,0.9971406903074703,0.9873694935046086,0.9617099862356885,0.9898966333842735,0.9879110698107666,0.9243601348509511,0.9499614610431333,0.9166284812154528,1.0,0.982030725170326,0.9620119286199579,0.9127505527586068,0.8235771874231997,-0.03980361923581923,0.03980361923581923,0.9327452183391447,0.9504057449411965,-0.13219044979408748,-0.38165435315959606,-0.38187332257647344,0.1339548687123498,0.02312868731727878,0.03444172758219207,0.044920522111461296,0.0004135290009732216
상한선,0.9670406846502936,0.974986358200988,0.9817776138150444,0.9780852514055364,0.9672391693705877,0.942409791797207,0.9801880337085146,0.9866292210490742,0.9124394610601657,0.9232193072366677,0.8957692921704331,0.982030725170326,1.0,0.904368116894449,0.8955901866779327,0.8151538103362128,-0.042490160118104005,0.042490160118104005,0.9150165147655948,0.9281622138622233,-0.10789068595259449,-0.3970088622374191,-0.39731365414249753,0.14911156153911528,0.02671767864805823,0.03934633847193626,0.06485192574706874,0.02194033386221954
하한선,0.9413812084331691,0.9471693390331399,0.956525324897951,0.9613317361278251,0.9561275514548985,0.9345597653810219,0.944205093905103,0.9374970483271415,0.8846387525551304,0.9360002554983877,0.8969045443191922,0.9620119286199579,0.904368116894449,1.0,0.8880256087861094,0.8053383679099144,-0.0440964240520332,0.0440964240520332,0.9209153706866413,0.9291664561472988,-0.1900346335212257,-0.3640001664708468,-0.3639914512781836,0.08826621626898937,0.003170145557549098,0.011923938744069112,0.003964877780967238,-0.0404884629761617
224,0.888670056545977,0.8943527279309167,0.9081442260350423,0.9289833423777428,0.950461085109997,0.9811648709330248,0.8931916142894727,0.9022939152560316,0.8367069615293601,0.9327807668490363,0.9341196544993272,0.9127505527586068,0.8955901866779327,0.8880256087861094,1.0,0.9660456129693269,-0.04495952070710438,0.04495952070710438,0.9214895403857042,0.9471797150651937,-0.2554506275167228,-0.46646579968979346,-0.46654958546767983,0.06357290115155875,-0.021492673796849,-0.02022071722624126,-0.12450075804149009,-0.11290938141274179
448,0.8003658099794074,0.8059067613429798,0.8190229583368324,0.8407391033932822,0.8664881037316535,0.9122482441743551,0.807464385816281,0.823721348668915,0.7503423808920564,0.8578785056615347,0.8805975005811739,0.8235771874231997,0.8151538103362128,0.8053383679099144,0.9660456129693269,1.0,-0.058001476582774165,0.058001476582774165,0.8567802119474125,0.870262482871298,-0.37645872121176194,-0.599150080196546,-0.5992769950236765,0.07305050577490232,-0.01851600621663953,-0.017258866073742284,-0.1396398368408171,-0.11687316022977795
Para SAR 강세패턴,0.05281411991642312,0.03025242721805055,-0.009347455154725489,-0.03151150740494479,-0.0387797236668622,-0.04276074599189774,0.007098042432584316,-0.04367324544726313,0.04042510143716745,-0.04796994869813262,-0.057130958266323466,-0.03980361923581923,-0.042490160118104005,-0.0440964240520332,-0.04495952070710438,-0.058001476582774165,1.0,-1.0,-0.058208621658414644,-0.0482651283630733,0.1819215923676468,0.034772331405627716,0.03172804799228619,0.3045472205128245,0.6570733309416952,0.6092346962133911,0.5113160792619416,0.530998941454714
약세패턴,-0.05281411991642312,-0.03025242721805055,0.009347455154725489,0.03151150740494479,0.0387797236668622,0.04276074599189774,-0.007098042432584316,0.04367324544726313,-0.04042510143716745,0.04796994869813262,0.057130958266323466,0.03980361923581923,0.042490160118104005,0.0440964240520332,0.04495952070710438,0.058001476582774165,-1.0,1.0,0.058208621658414644,0.0482651283630733,-0.1819215923676468,-0.034772331405627716,-0.03172804799228619,-0.3045472205128245,-0.6570733309416952,-0.6092346962133911,-0.5113160792619416,-0.530998941454714
골든크로스,0.9006259114594658,0.9089877226928651,0.9258075678331658,0.9459722660922063,0.9558320910947181,0.9517424704532949,0.9120060570723642,0.9391549874984354,0.8475978046477833,0.9569257186211401,0.9355070968847157,0.9327452183391447,0.9150165147655948,0.9209153706866413,0.9214895403857042,0.8567802119474125,-0.058208621658414644,0.058208621658414644,1.0,0.9580992952763163,-0.19175698333423105,-0.38022005244139734,-0.3802343028864425,0.019336160397809467,-0.06356555594283786,-0.0656541064707028,-0.1120701172191668,-0.1367719493869375
데드크로스,0.9232598273230525,0.9291995137295112,0.9442885283949911,0.963852242780909,0.9752635059539069,0.9726845652263859,0.9280275272050238,0.9402860503567259,0.8724614482313532,0.9704194896340008,0.9518634497044058,0.9504057449411965,0.9281622138622233,0.9291664561472988,0.9471797150651937,0.870262482871298,-0.0482651283630733,0.0482651283630733,0.9580992952763163,1.0,-0.1705117061116046,-0.3818273754860271,-0.38189696597019923,0.0498387754881109,-0.047726096190323405,-0.048672100381901146,-0.09409729923611918,-0.11283483533333204
거래량,-0.0986436578957695,-0.10865328911600362,-0.12352959443231493,-0.1409500245257887,-0.1580484060000415,-0.1880253127969229,-0.10813473582177073,-0.12675719561891052,-0.12827055788421246,-0.18070556438454352,-0.19500417905944903,-0.13219044979408748,-0.10789068595259449,-0.1900346335212257,-0.2554506275167228,-0.37645872121176194,0.1819215923676468,-0.1819215923676468,-0.19175698333423105,-0.1705117061116046,1.0,0.6804835418298188,0.678868508496062,0.14686536381235737,0.15133605269965147,0.14207971588990823,0.31124191685379937,0.30641275271623003
OBV,-0.37985590283252696,-0.381507173887698,-0.3829993665132166,-0.3841312304778366,-0.3894659449600075,-0.40084086127456253,-0.3796361829448828,-0.3875917996383341,-0.38716063836296055,-0.3836216728683364,-0.39877340245750825,-0.38165435315959606,-0.3970088622374191,-0.3640001664708468,-0.46646579968979346,-0.599150080196546,0.034772331405627716,-0.034772331405627716,-0.38022005244139734,-0.3818273754860271,0.6804835418298188,1.0,0.9999163666800785,-0.09228353889868708,-0.06134094197709322,-0.06499227935787244,-0.004850001993929231,-0.010296233619429369
Signal 9,-0.3808539104686811,-0.38218121879095635,-0.3833916273794199,-0.3844032562600906,-0.38968432282104565,-0.4009851837467842,-0.3801157201939628,-0.3879645720032054,-0.38769482376933473,-0.38373621039069156,-0.3989093862063127,-0.38187332257647344,-0.39731365414249753,-0.3639914512781836,-0.46654958546767983,-0.5992769950236765,0.03172804799228619,-0.03172804799228619,-0.3802343028864425,-0.38189696597019923,0.678868508496062,0.9999163666800785,1.0,-0.09701470928114352,-0.06463430236730411,-0.06773292827979689,-0.008973373077740201,-0.014242031754999215
VR 21,0.2113346615326992,0.19411518148560641,0.1584970749386618,0.12142541991928067,0.1003823873206643,0.07371295930339376,0.18098094955642435,0.12151743533098602,0.19154915009379672,0.04863084626683353,0.060046845272074385,0.1339548687123498,0.14911156153911528,0.08826621626898937,0.06357290115155875,0.07305050577490232,0.3045472205128245,-0.3045472205128245,0.019336160397809467,0.0498387754881109,0.14686536381235737,-0.09228353889868708,-0.09701470928114352,1.0,0.5133602617466578,0.5275316476115975,0.5553695089694988,0.5527827712544031
"Slow %K 20,5",0.14528292026162437,0.12304645468825266,0.06676690899711635,0.020756859037164867,0.0005159111630795753,-0.015146772279999,0.09311383406482011,0.005958687730092405,0.13347899366031823,-0.04309933816841636,-0.03070352827010883,0.02312868731727878,0.02671767864805823,0.003170145557549098,-0.021492673796849,-0.01851600621663953,0.6570733309416952,-0.6570733309416952,-0.06356555594283786,-0.047726096190323405,0.15133605269965147,-0.06134094197709322,-0.06463430236730411,0.5133602617466578,1.0,0.9838701371315458,0.7593789307905133,0.7787887026866241
Slow %D 3,0.1496449859903816,0.13278070431968433,0.07806648207723897,0.028764608788284567,0.005855316094977049,-0.012540631537248506,0.10781572663721359,0.013856012350364622,0.137723691710478,-0.04662977696587867,-0.03307617846790027,0.03444172758219207,0.03934633847193626,0.011923938744069112,-0.02022071722624126,-0.017258866073742284,0.6092346962133911,-0.6092346962133911,-0.0656541064707028,-0.048672100381901146,0.14207971588990823,-0.06499227935787244,-0.06773292827979689,0.5275316476115975,0.9838701371315458,1.0,0.7450578605196538,0.7692957435349199
RSI 21,0.16750908575944712,0.13716828158672245,0.08121081155111248,0.018745938600355967,-0.027182361867837103,-0.07838236383947134,0.11668060955822551,0.04358446633203231,0.1544926524112381,-0.10455186214204949,-0.12426202455247287,0.044920522111461296,0.06485192574706874,0.003964877780967238,-0.12450075804149009,-0.1396398368408171,0.5113160792619416,-0.5113160792619416,-0.1120701172191668,-0.09409729923611918,0.31124191685379937,-0.004850001993929231,-0.008973373077740201,0.5553695089694988,0.7593789307905133,0.7450578605196538,1.0,0.9417627599978671
CCI 42,0.1208744618112214,0.09272503180070975,0.037163365661927655,-0.020764037975812735,-0.05710116496053633,-0.0920771432958117,0.0729529372724512,0.00026832483480784624,0.11282030069278301,-0.1368516569255484,-0.13094644638728484,0.0004135290009732216,0.02194033386221954,-0.0404884629761617,-0.11290938141274179,-0.11687316022977795,0.530998941454714,-0.530998941454714,-0.1367719493869375,-0.11283483533333204,0.30641275271623003,-0.010296233619429369,-0.014242031754999215,0.5527827712544031,0.7787887026866241,0.7692957435349199,0.9417627599978671,1.0
