,종가,종가 지수 5,15,33,56,112,전환선 9,기준선 26,후행스팬 26,"선행스팬1 9,26","선행스팬2 52,26","Bollinger Bands중심선 20,2.4",상한선,하한선,224,448,Para SAR 강세패턴,약세패턴,골든크로스,데드크로스,거래량,OBV,Signal 9,VR 21,"Slow %K 20,5",Slow %D 3,RSI 21,CCI 42
"선행스팬2 52,26",0.8816634368583122,0.8906210867832985,0.9076139483581449,0.9317648321205367,0.9493722315478512,0.9576716626815044,0.8883404297878349,0.9037558426728067,0.8372119233834346,0.9683437364553823,1.0,0.9127724257207065,0.8762907386036899,0.8945133516938851,0.9280658973696295,0.8696849792025343,-0.06526050934504986,0.06526050934504987,0.9373625063022456,0.9487250752741028,-0.07202540585373615,-0.4029065551029843,-0.40322973885808483,-0.025997473254037163,-0.027608647684381232,-0.029688341503125944,-0.12077909166677672,-0.11461447892053724
"Bollinger Bands중심선 20,2.4",0.9804693200097644,0.9896331322373577,0.9979628944986665,0.9974828579867789,0.989502384868685,0.9643414950943422,0.9889471370575088,0.9846463496656155,0.9228516290350143,0.9535222194839387,0.9127724257207065,1.0,0.9758370201548984,0.9596577371801944,0.9114259872566102,0.8121613265810388,-0.04637646601338673,0.04637646601338675,0.9337326029310199,0.9547583905933142,-0.03497001757760314,-0.39144085161556336,-0.3921775754876606,-0.017193336202245012,0.023878744298458168,0.034932976060422304,0.038536988763731926,-0.007896941567804724
상한선,0.9633543217081207,0.9716635497486336,0.976002963712401,0.9698310512745227,0.9572659239350158,0.925759427570617,0.978856893560027,0.9821061267300355,0.9005446982071483,0.9167992302698754,0.8762907386036899,0.9758370201548984,1.0,0.8750338134554658,0.8652739841177812,0.7702548540261059,-0.047746227411103424,0.047746227411103445,0.9021684082476725,0.919674970542094,0.0029822136219825853,-0.3824868757013382,-0.3836755876382455,-0.006809661758655682,0.029208581423415717,0.04228942951320068,0.06705625463635682,0.021060584297282307
하한선,0.9324527289372524,0.9420616171997815,0.9549312156588069,0.9618099182574116,0.9602991834378817,0.9451013657700977,0.9312852974912669,0.9175761862267386,0.8856321107149562,0.9326626654637263,0.8945133516938851,0.9596577371801944,0.8750338134554658,1.0,0.9050295199454703,0.8276350315669165,-0.04130088374500147,0.04130088374500149,0.9076482707693901,0.9317006913940012,-0.0813097807276031,-0.3750001655298121,-0.3751026314844404,-0.02932708692539357,0.015314380640021625,0.022971044442291588,-0.000915231029345062,-0.04459608091911231
224,0.8822525400464504,0.8914079964516539,0.9070197416300251,0.9291726141338771,0.9505172290572096,0.9821249581284405,0.8879168675109091,0.8958665080346245,0.8281635940642452,0.9325679033093861,0.9280658973696295,0.9114259872566102,0.8652739841177812,0.9050295199454703,1.0,0.9676201931784931,-0.05008740899839697,0.05008740899839699,0.9380567539884455,0.9424632329602957,-0.08408629586408294,-0.4521184759117699,-0.4524745108173415,-0.007877445492593773,-0.020838511426384636,-0.019955085851506182,-0.12480212710047907,-0.10663018947359296
448,0.7846975560971852,0.7920092495551686,0.8076719379841917,0.8321967327435147,0.858893174974549,0.9088205627924311,0.7919451903554428,0.8088514974429225,0.730333154219199,0.8474580065402696,0.8696849792025343,0.8121613265810388,0.7702548540261059,0.8276350315669165,0.9676201931784931,1.0,-0.06519357628261806,0.06519357628261806,0.863348940174545,0.8545352460362,-0.10791991550560993,-0.5335745254219795,-0.5339215975494569,-0.0007581193711546627,-0.01786282132418888,-0.017397475630421034,-0.15285778444576298,-0.12151233635855523
Para SAR 강세패턴,0.04406894418786819,0.0207442986696611,-0.018155209776811357,-0.038520184035406184,-0.044697582452199444,-0.04718804562693383,-0.005515019342934893,-0.05334972284405878,0.038638973124676484,-0.05469032583591883,-0.06526050934504986,-0.04637646601338673,-0.047746227411103424,-0.04130088374500147,-0.05008740899839697,-0.06519357628261806,1.0,-1.0,-0.06400111113643801,-0.05581999158936902,0.09708767750318759,0.021202292921495742,0.019035860583753755,0.14838563063186505,0.6529916351969701,0.606256486202368,0.5045634967059864,0.5196686688352824
약세패턴,-0.04406894418786817,-0.020744298669661102,0.01815520977681135,0.03852018403540617,0.04469758245219944,0.04718804562693377,0.005515019342934903,0.05334972284405878,-0.038638973124676484,0.054690325835918846,0.06526050934504987,0.04637646601338675,0.047746227411103445,0.04130088374500149,0.05008740899839699,0.06519357628261806,-1.0,1.0,0.06400111113643808,0.055819991589368775,-0.09708767750318752,-0.021202292921495735,-0.01903586058375375,-0.14838563063186502,-0.6529916351969701,-0.606256486202368,-0.5045634967059864,-0.5196686688352824
골든크로스,0.9029108674175309,0.9118655228390599,0.9285021389229043,0.9502396197131737,0.96406021084533,0.967473187384203,0.9145857384499705,0.9415783440331077,0.8422157117618447,0.9617514741698558,0.9373625063022456,0.9337326029310199,0.9021684082476725,0.9076482707693901,0.9380567539884455,0.863348940174545,-0.06400111113643801,0.06400111113643808,1.0,0.9625343498278125,-0.06543041144474286,-0.40217647759305947,-0.4025883002461963,-0.051537474514343984,-0.05978407099506544,-0.06198955227281093,-0.10912935111865646,-0.11482813744895534
데드크로스,0.9207631817344856,0.9304335174388997,0.948234992444092,0.9686592632404329,0.9794054906846982,0.9773641970186797,0.9294597180753409,0.9451382644895802,0.8679481150128335,0.9763246507681985,0.9487250752741028,0.9547583905933142,0.919674970542094,0.9317006913940012,0.9424632329602957,0.8545352460362,-0.05581999158936902,0.055819991589368775,0.9625343498278125,1.0,-0.06394566392977796,-0.39550533413862193,-0.3958662642377885,-0.04443335815430547,-0.048004172864554225,-0.049001689944871675,-0.09733843953822535,-0.10622400865080181
거래량,0.011849734627779735,-0.004232693656877198,-0.02377277695544165,-0.04087338332563327,-0.05298747225449186,-0.06762726150162746,-0.006907251362657686,-0.021632605116520265,-0.007212034850770724,-0.06425806810541902,-0.07202540585373615,-0.03497001757760314,0.0029822136219825853,-0.0813097807276031,-0.08408629586408294,-0.10791991550560993,0.09708767750318759,-0.09708767750318752,-0.06543041144474286,-0.06394566392977796,1.0,0.23116071833744814,0.21748948030571033,0.09714524631692711,0.11218315779869836,0.10414971918487743,0.21685746474204423,0.22151361404935038
OBV,-0.3842333971315552,-0.3867832853584118,-0.39094414157921925,-0.39705612803212514,-0.4032291687338752,-0.4148552798160856,-0.38453997352061725,-0.39083754304374924,-0.38385389795549874,-0.39578835262220646,-0.4029065551029843,-0.39144085161556336,-0.3824868757013382,-0.3750001655298121,-0.4521184759117699,-0.5335745254219795,0.021202292921495742,-0.021202292921495735,-0.40217647759305947,-0.39550533413862193,0.23116071833744814,1.0,0.9998547870871018,-0.06908518818277491,-0.05296322812350687,-0.05440613766309391,0.006442963383492794,0.0010994842430718688
Signal 9,-0.38588993120703197,-0.3880996149689091,-0.391891804123991,-0.3977593259994049,-0.40379125694875656,-0.415279308976487,-0.38568712509633185,-0.3917723564403952,-0.3850714641330586,-0.3961525021114267,-0.40322973885808483,-0.3921775754876606,-0.3836755876382455,-0.3751026314844404,-0.4524745108173415,-0.5339215975494569,0.019035860583753755,-0.01903586058375375,-0.4025883002461963,-0.3958662642377885,0.21748948030571033,0.9998547870871018,1.0,-0.07179659820527286,-0.05570859388181307,-0.05690160553872719,0.0024729723151472424,-0.0029642986294975693
VR 21,0.024027316085070118,0.012726978221439544,-0.005378072306551359,-0.02061259376559305,-0.02823101492002647,-0.034867825705537474,0.003744082881473179,-0.01986476393834414,0.014484388308440618,-0.04503583607003981,-0.025997473254037163,-0.017193336202245012,-0.006809661758655682,-0.02932708692539357,-0.007877445492593773,-0.0007581193711546627,0.14838563063186505,-0.14838563063186502,-0.051537474514343984,-0.04443335815430547,0.09714524631692711,-0.06908518818277491,-0.07179659820527286,1.0,0.28220765966933486,0.2772170568032876,0.28048449832858335,0.2889799212151485
"Slow %K 20,5",0.14320711586018145,0.12039295736393842,0.06515775398685678,0.020818309047772487,7.607683559658006e-05,-0.015218148838930478,0.08948353153389277,0.003932221652687611,0.13624642415526456,-0.04077069041984977,-0.027608647684381232,0.023878744298458168,0.029208581423415717,0.015314380640021625,-0.020838511426384636,-0.01786282132418888,0.6529916351969701,-0.6529916351969701,-0.05978407099506544,-0.048004172864554225,0.11218315779869836,-0.05296322812350687,-0.05570859388181307,0.28220765966933486,1.0,0.9837122165141081,0.7544948421711215,0.757504222423755
Slow %D 3,0.14655511731021004,0.12982139079659125,0.0761987072663428,0.028549566515707014,0.00512161266261873,-0.012853879380286239,0.10399549604325678,0.011084752565677593,0.14062285594056265,-0.04404971922195541,-0.029688341503125944,0.034932976060422304,0.04228942951320068,0.022971044442291588,-0.019955085851506182,-0.017397475630421034,0.606256486202368,-0.606256486202368,-0.06198955227281093,-0.049001689944871675,0.10414971918487743,-0.05440613766309391,-0.05690160553872719,0.2772170568032876,0.9837122165141081,1.0,0.7383517965530689,0.739700640418119
RSI 21,0.16716810641705415,0.13161682402604472,0.0739343835990441,0.013935136393865453,-0.028721704988783375,-0.07849666076595545,0.10856801698983788,0.0387574381187837,0.15284698417010104,-0.0996015720572565,-0.12077909166677672,0.038536988763731926,0.06705625463635682,-0.000915231029345062,-0.12480212710047907,-0.15285778444576298,0.5045634967059864,-0.5045634967059864,-0.10912935111865646,-0.09733843953822535,0.21685746474204423,0.006442963383492794,0.0024729723151472424,0.28048449832858335,0.7544948421711215,0.7383517965530689,1.0,0.9051330269458576
CCI 42,0.11866105262286587,0.08211874016803032,0.026467427215993752,-0.025037599302382883,-0.05633207112883816,-0.08670246663368315,0.06152224386409747,-0.0030015655296394715,0.09878903643393461,-0.12110092511460735,-0.11461447892053724,-0.007896941567804724,0.021060584297282307,-0.04459608091911231,-0.10663018947359296,-0.12151233635855523,0.5196686688352824,-0.5196686688352824,-0.11482813744895534,-0.10622400865080181,0.22151361404935038,0.0010994842430718688,-0.0029642986294975693,0.2889799212151485,0.757504222423755,0.739700640418119,0.9051330269458576,1.0
